=========V ACT================, -792.41, 4.18, -1545.41,
5.*Avris Marrowill 1, -2160.83, 4.58, -2158.53,
5.*Avris Marrowill 2, -1898.05, -0.19, -2221.24,
5.*Bargoll 1, -1362.35, 0.71, -3474.20,
5.*Bargoll 2, -1425.53, -0.11, -3299.69,
5.*Bargoll 3, -967.67, 1.20, -3175.45,
5.*Bargoll 4, -1033.71, -0.37, -3083.50,
5.*Bargoll 5, -956.98, -0.99, -3069.38,
5.*Bargoll 6, -697.52, -0.89, -2887.87,
5.*Carraxus Foul, -1867.50, -1.19, -1959.50,
5.*Dralgar, -792.41, 4.18, -1545.41,
5.*Handarroth 1, -1025.78, 18.25, -2149.27,
5.*Handarroth 2, -1000.08, 19.32, -2057.19,
5.*Handarroth 3, -989.69, 4.91, -2030.22,
5.*Handarroth 4, -859.74, 3.63, -2098.26,
5.*Handarroth 5, -956.13, 3.75, -2010.83,
5.*Janaxia the Betrayer, -2520.33, 0.75, -2513.24,
5.*Kra'vall Ancient of the Waters, -846.98, 0.69, -3178.13,
5.*Larria the Hexxer, -2195.34, -1.23, -2462.30,
5.*Naxen Shade, -2981.55, -7.39, -3030.48,
5.*Ollivioth 1, -1455.76, 0.44, -3367.58,
5.*Ollivioth 2, -1342.67, 0.74, -3309.27,
5.*Ollivioth 3, -1072.09, -1.08, -2994.24,
5.*Packla the Turning 1, -915.59, 2.99, -2477.69,
5.*Packla the Turning 2, -866.01, 9.95, -2352.88,
5.*Packla the Turning 3, -1051.39, 17.03, -2168.16,
5.*Packla the Turning 4, -968.50, 4.60, -2032.03,
5.*Packla the Turning 5, -852.84, 4.35, -2139.44,
5.*Packla the Turning 6, -972.08, 3.76, -1981.01,
5.*Sylvarria, -2454.30, -7.97, -2232.45,
5.*Yuvolloth 1, -1044.07, 0.10, -3030.24,
5.*Yuvolloth 2, -714.20, 1.03, -2972.45,
5.*Yuvolloth 3, -618.94, 2.90, -2966.31,
5.Altar of Rattosh - Portal, -1785.00, 47.55, -3665.00,
5.Barrowholm Bounty Table, -814.19, 0.57, -2597.53,
5.Coven of Ugdenbog B.Table, -1553.27, 6.24, -3553.91,
5.Orders - Chillpincer 1, -2896.46, -0.39, -3032.98,
5.Orders - Chillpincer 2, -2839.46, 14.99, -2983.08,
5.Orders - Chillpincer 3, -2895.66, 10.50, -2852.42,
5.Orders - Crognoth 1, -2757.13, 19.01, -4268.42,
5.Orders - Crognoth 2, -2759.75, 18.79, -4356.07,
5.Orders - Crognoth 3, -2860.85, 19.07, -4347.79,
5.Orders - Crognoth 4, -2866.82, 15.51, -4291.00,
5.Orders - Habnor 1, -843.51, 5.29, -1901.13,
5.Orders - Habnor 2, -996.88, 2.55, -1873.42,
5.Orders - Habnor 3, -911.43, 3.99, -2171.95,
5.Orders - Habnor 4, -1127.15, 20.57, -2028.44,
5.Orders - Habnor 5, -1195.86, 17.12, -2057.38,
5.Orders - Habnor 6, -1266.12, 10.16, -2098.46,
5.Orders - Polterrios 1, -2179.37, 4.24, -2153.37,
5.Orders - Polterrios 2, -2156.68, -4.27, -2204.71,
5.Orders - Polterrios 3, -2189.92, 6.40, -2095.78,
5.Orders - Swillius 1, -2497.14, -7.55, -2155.95,
5.Orders - Swillius 2, -2440.50, -0.20, -2130.50,
5.Orders - Swillius 3, -2442.03, 1.98, -2040.60,
5.Orders - Sllancar 1, -990.46, 2.58, -3190.50,
5.Orders - Sllancar 2, -1085.48, 0.47, -3062.97,
5.Orders - Sllancar 3, -925.29, -1.08, -3057.31,
5.Orders - Sllancar 4, -821.88, 1.54, -3121.53,
5.Orders - Vagarroth 1, -1343.55, 0.38, -3307.78,
5.Orders - Vagarroth 2, -1059.56, 0.33, -3006.78,
5.Orders - Vagarroth 3, -712.01, 1.50, -2960.34,
5.Orders - Vagarroth 1, -2516.85, 13.40, -4445.02,
5.Orders - Vagarroth 2, -2493.82, 13.07, -4346.35,
5.Orders - Vagarroth 3, -2414.10, 13.07, -4384.63,
5.Orders - Vagarroth 4, -2403.45, 13.08, -4309.47,
5.Orders - Vladris 1, -1451.44, 9.54, -3676.39,
5.Orders - Vladris 2, -1215.55, -0.59, -3615.94,
5.Orders - Vladris 3, -1197.48, 0.57, -3657.68,
5.Orders - Vladris 4, -1392.03, 4.14, -3907.28,
5.Orders - Vladris 5, -1451.24, 13.11, -3855.69,
5.Orders - Vladris 6, -1560.82, 12.23, -3784.00,
5.Orders - Yoknar 1, -1419.26, 0.30, -3301.45,
5.Orders - Yoknar 2, -1331.54, -0.17, -3407.74,
5.Orders - Yoknar 3, -1236.68, 1.16, -3411.18,
5.Orders - Yoknar 4, -1225.60, 1.49, -3358.40,
