=========IV ACT===============, -3777.94, 119.00, 66.69,
4.*Anasteria (Enemy), -5758.20, -0.11, 146.80,
4.*Archon Barthollem/Malkadarr, -5460.13, -8.09, 1791.33,
4.*Bane'Galgalor 1, -5729.02, -16.00, -424.28,
4.*Bane'Galgalor 2, -5655.70, -0.17, -250.87,
4.*Bloodlord Thalonis, -6333.45, -8.11, -378.81,
4.*Commander Lucius, -6142.51, 0.06, 185.12,
4.*Guardian of Bysmiel, -5762.64, 0.51, 2064.28,
4.*Harvoul the Earthshaker, -5448.05, -7.91, 1048.28,
4.*Ikrix the Ravener 1, -1965.34, -4.32, 1420.07,
4.*Ikrix the Ravener 2, -1924.46, 5.65, 1379.38,
4.*Ikrix the Ravener 3, -1955.10, 7.15, 1483.47,
4.*Ikrix the Ravener 4, -1842.20, -3.71, 1394.84,
4.*Nacrathan the Timeless, -5404.01, -8.12, 2092.95,
4.*Plagius the Decrepit, -5682.72, -6.06, -734.40,
4.*Ragrathar Rageblood 1, -4724.98, 33.43, 62.20,
4.*Ragrathar Rageblood 2, -4686.36, 32.96, 69.50,
4.*Ragrathar Rageblood 3, -4619.90, 40.48, 104.43,
4.*Ragrathar Rageblood 4, -4615.27, 33.26, 55.65,
4.*Rashalga the Mad Queen, -5846.47, 6.61, 2050.59,
4.*Sharanatu, -5578.50, -15.89, 1014.71,
4.Portal to Forsaken Wastes 1, -4745.32, 11.05, -832.86,
4.Portal to Forsaken Wastes 2, -4681.92, 14.09, -884.26,
4.Portal to Forsaken Wastes 3, -4633.37, 13.38, -796.37,
4.Black Legion Bounty Table, -4843.68, 39.00, -503.63,
4.The Outcast's Bounty Table, -5637.15, -0.08, 270.18,
4.Orders - Conastaria 1, -2402.47, 12.00, 246.20,
4.Orders - Conastaria 2, -2382.22, 12.00, 297.00,
4.Orders - Conastaria 3, -2313.50, 14.12, 341.46,
4.Orders - Corprus 1, -5633.01, -6.07, -717.94,
4.Orders - Corprus 2, -5793.59, -6.08, -742.88,
4.Orders - Corprus 3, -5735.33, -6.09, -804.25,
4.Orders - Emberjaw 1, -1398.20, 19.46, 336.03,
4.Orders - Emberjaw 2, -1451.65, 19.41, 428.69,
4.Orders - Emberjaw 3, -1486.60, 28.95, 293.26,
4.Orders - Gluttrius'Maw 1, -2724.87, 16.99, -164.14,
4.Orders - Gluttrius'Maw 2, -2770.81, 16.63, -64.00,
4.Orders - Gluttrius'Maw 3, -2592.89, 17.44, -267.53,
4.Orders - Harrath the Returned 1, -2256.32, 15.01, 667.63,
4.Orders - Harrath the Returned 2, -2321.26, 14.39, 709.61,
4.Orders - Harrath the Returned 3, -2413.93, 17.04, 720.03,
4.Orders - Harrath the Returned 4, -2329.27, 14.62, 573.09,
4.Orders - Ludia Starfire 1, -2179.27, 11.85, -309.05,
4.Orders - Ludia Starfire 2, -2133.09, 11.83, -328.29,
4.Orders - Ludia Starfire 3, -2045.82, 13.14, -270.16,
4.Orders - Nucus'Dal 1, -4954.99, 14.00, -1224.37,
4.Orders - Nucus'Dal 2, -4952.03, 25.44, -1364.29,
4.Orders - Nucus'Dal 3, -4898.14, 16.36, -1438.61,
4.Orders - Padmanestia 1, -2178.61, 11.85, -309.83,
4.Orders - Padmanestia 2, -2076.15, 14.59, -269.62,
4.Orders - Padmanestia 3, -2085.72, 11.75, -231.93,
4.Orders - Sicrix 1, -1868.84, 6.09, 1495.39,
4.Orders - Sicrix 2, -1816.44, -3.99, 1408.38,
4.Orders - Vizier Anoxis 1, -3608.06, -0.87, 1039.36,
4.Orders - Vizier Anoxis 2, -3563.97, -0.53, 1051.81,
